MAL_ID,Name,IMAGE_URL
94,Mobile Suit Gundam SEED Destiny,https://cdn.myanimelist.net/images/anime/1700/91080.jpg
95,Turn A Gundam,https://cdn.myanimelist.net/images/anime/4/78330.jpg
96,Mobile Fighter G Gundam,https://cdn.myanimelist.net/images/anime/1596/92392.jpg
97,Last Exile,https://cdn.myanimelist.net/images/anime/7/10888.jpg
98,Mai-HiME,https://cdn.myanimelist.net/images/anime/13/7226.jpg
99,Mai-Otome,https://cdn.myanimelist.net/images/anime/2/46897.jpg
100,Shin Shirayuki-hime Densetsu Prétear,https://cdn.myanimelist.net/images/anime/9/11709.jpg
101,Air,https://cdn.myanimelist.net/images/anime/8/22059.jpg
102,Aishiteruze Baby★★,https://cdn.myanimelist.net/images/anime/2/69665.jpg
103,Akazukin Chacha,https://cdn.myanimelist.net/images/anime/1098/108972.jpg
104,Ayashi no Ceres,https://cdn.myanimelist.net/images/anime/8/23580.jpg
105,Boys Be...,https://cdn.myanimelist.net/images/anime/1/2223.jpg
106,Hana yori Dango,https://cdn.myanimelist.net/images/anime/2/42871.jpg
107,Ou Dorobou Jing,https://cdn.myanimelist.net/images/anime/1961/92115.jpg
108,Ou Dorobou Jing in Seventh Heaven,https://cdn.myanimelist.net/images/anime/5/30325.jpg
109,Bakuretsu Tenshi,https://cdn.myanimelist.net/images/anime/10/22647.jpg
110,Chuuka Ichiban!,https://cdn.myanimelist.net/images/anime/6/75283.jpg
111,Corrector Yui,https://cdn.myanimelist.net/images/anime/1696/105659.jpg
112,Chou Henshin Cosprayers,https://cdn.myanimelist.net/images/anime/5/75236.jpg
113,Uchuu no Stellvia,https://cdn.myanimelist.net/images/anime/10/15225.jpg
114,Sakigake!! Cromartie Koukou,https://cdn.myanimelist.net/images/anime/3/13390.jpg
115,El Hazard: The Alternative World,https://cdn.myanimelist.net/images/anime/3/61047.jpg
116,El Hazard: The Wanderers,https://cdn.myanimelist.net/images/anime/13/24439.jpg
117,El Hazard: The Magnificent World,https://cdn.myanimelist.net/images/anime/12/23429.jpg
118,El Hazard 2: The Magnificent World,https://cdn.myanimelist.net/images/anime/11/2796.jpg
119,Final Approach,https://cdn.myanimelist.net/images/anime/11/14607.jpg
120,Fruits Basket,https://cdn.myanimelist.net/images/anime/4/75204.jpg
121,Fullmetal Alchemist,https://cdn.myanimelist.net/images/anime/10/75815.jpg
122,Full Moon wo Sagashite,https://cdn.myanimelist.net/images/anime/9/6265.jpg
123,Fushigi Yuugi,https://cdn.myanimelist.net/images/anime/2/20140.jpg
124,Fushigi Yuugi: Eikouden,https://cdn.myanimelist.net/images/anime/11/67701.jpg
125,Futakoi,https://cdn.myanimelist.net/images/anime/1/125.jpg
126,Futakoi Alternative,https://cdn.myanimelist.net/images/anime/6/16733.jpg
127,Gate Keepers,https://cdn.myanimelist.net/images/anime/12/15226.jpg
128,Gate Keepers 21,https://cdn.myanimelist.net/images/anime/6/75569.jpg
129,Gensoumaden Saiyuuki,https://cdn.myanimelist.net/images/anime/11/75282.jpg
130,Saiyuuki Reload,https://cdn.myanimelist.net/images/anime/13/24719.jpg
131,Saiyuuki Reload Gunlock,https://cdn.myanimelist.net/images/anime/11/6830.jpg
132,GetBackers,https://cdn.myanimelist.net/images/anime/4/7547.jpg
133,Green Green,https://cdn.myanimelist.net/images/anime/7/75251.jpg
134,Gunslinger Girl,https://cdn.myanimelist.net/images/anime/5/3088.jpg
135,Hikaru no Go,https://cdn.myanimelist.net/images/anime/12/78317.jpg
136,Hunter x Hunter,https://cdn.myanimelist.net/images/anime/8/19473.jpg
137,Hunter x Hunter: Original Video Animation,https://cdn.myanimelist.net/images/anime/1/137.jpg
138,Hunter x Hunter: Greed Island,https://cdn.myanimelist.net/images/anime/13/37203.jpg
139,Hunter x Hunter: Greed Island Final,https://cdn.myanimelist.net/images/anime/1/139.jpg
141,Jinki:Extend,https://cdn.myanimelist.net/images/anime/3/44792.jpg
142,Kamikaze Kaitou Jeanne,https://cdn.myanimelist.net/images/anime/5/20389.jpg
143,Kannazuki no Miko,https://cdn.myanimelist.net/images/anime/8/73955.jpg
144,Kanon,https://cdn.myanimelist.net/images/anime/1/144.jpg
145,Kareshi Kanojo no Jijou,https://cdn.myanimelist.net/images/anime/1222/108880.jpg
146,Kono Minikuku mo Utsukushii Sekai,https://cdn.myanimelist.net/images/anime/10/21035.jpg
147,Kimi ga Nozomu Eien,https://cdn.myanimelist.net/images/anime/5/10227.jpg
148,Kita e.: Diamond Dust Drops,https://cdn.myanimelist.net/images/anime/1/148.jpg
149,Loveless,https://cdn.myanimelist.net/images/anime/2/22947.jpg
150,Blood+,https://cdn.myanimelist.net/images/anime/10/10183.jpg
151,Re: Cutey Honey,https://cdn.myanimelist.net/images/anime/6/52103.jpg
152,Solty Rei,https://cdn.myanimelist.net/images/anime/3/75582.jpg
153,Juuni Kokuki,https://cdn.myanimelist.net/images/anime/6/50859.jpg
154,Shaman King,https://cdn.myanimelist.net/images/anime/4/18990.jpg
155,X/1999,https://cdn.myanimelist.net/images/anime/7/23579.jpg
156,X,https://cdn.myanimelist.net/images/anime/8/17167.jpg
157,Mahou Sensei Negima!,https://cdn.myanimelist.net/images/anime/12/89535.jpg
158,Maria-sama ga Miteru,https://cdn.myanimelist.net/images/anime/1994/114208.jpg
159,Boukyaku no Senritsu,https://cdn.myanimelist.net/images/anime/9/52679.jpg
160,"Ima, Soko ni Iru Boku",https://cdn.myanimelist.net/images/anime/1094/109008.jpg
161,Peace Maker Kurogane,https://cdn.myanimelist.net/images/anime/10/77408.jpg
162,Pita Ten,https://cdn.myanimelist.net/images/anime/7/25205.jpg
163,Power Stone,https://cdn.myanimelist.net/images/anime/1110/98247.jpg
164,Mononoke Hime,https://cdn.myanimelist.net/images/anime/7/75919.jpg
165,RahXephon,https://cdn.myanimelist.net/images/anime/13/75168.jpg
166,Samurai 7,https://cdn.myanimelist.net/images/anime/1190/95421.jpg
167,Scrapped Princess,https://cdn.myanimelist.net/images/anime/1238/94717.jpg
168,s.CRY.ed,https://cdn.myanimelist.net/images/anime/8/89882.jpg
169,Shingetsutan Tsukihime,https://cdn.myanimelist.net/images/anime/12/20669.jpg
170,Slam Dunk,https://cdn.myanimelist.net/images/anime/12/86890.jpg
171,Strange Dawn,https://cdn.myanimelist.net/images/anime/12/74782.jpg
173,Tactics,https://cdn.myanimelist.net/images/anime/8/37549.jpg
174,Tenjou Tenge,https://cdn.myanimelist.net/images/anime/10/8380.jpg
175,Tokyo Underground,https://cdn.myanimelist.net/images/anime/9/21036.jpg
176,Triangle Heart: Sweet Songs Forever,https://cdn.myanimelist.net/images/anime/7/17439.jpg
177,Tsubasa Chronicle,https://cdn.myanimelist.net/images/anime/9/6555.jpg
178,Ultra Maniac,https://cdn.myanimelist.net/images/anime/8/53571.jpg
179,Ultra Maniac OVA,https://cdn.myanimelist.net/images/anime/2/3132.jpg
180,Vandread,https://cdn.myanimelist.net/images/anime/5/75446.jpg
181,Vandread: The Second Stage,https://cdn.myanimelist.net/images/anime/4/75447.jpg
182,Tenkuu no Escaflowne,https://cdn.myanimelist.net/images/anime/5/30689.jpg
183,Whistle!,https://cdn.myanimelist.net/images/anime/8/17885.jpg
184,Xenosaga The Animation,https://cdn.myanimelist.net/images/anime/3/75162.jpg
185,Initial D First Stage,https://cdn.myanimelist.net/images/anime/13/6801.jpg
186,Initial D Second Stage,https://cdn.myanimelist.net/images/anime/8/12750.jpg
